"mmsi","timestamp","lat","lon"
"565761000","2023-03-15 00:27:44+00","1.26878","103.75827"
"538008084","2023-03-19 23:30:00+00","43.559619523707326","10.294040476292777"
"564654000","2023-03-12 08:22:53+00","1.23725","103.89135"
"529123000","2023-03-05 16:47:42+00","29.44367","48.93066"
"564780000","2023-03-11 06:35:20+00","1.27755","103.61026"
"563014650","2023-03-05 16:30:00+00","1.2995262999637536","103.95045077502303"
"563014650","2023-03-11 21:36:45+00","1.15557","103.7354"
"564654000","2023-03-20 16:26:40+00","1.23108","103.89189"
"563078430","2023-03-09 05:57:17+00","1.24562","103.87722"
"564654000","2023-03-20 22:46:44+00","1.21878","103.7964"
"564654000","2023-03-23 00:40:41+00","1.26516","103.88689"
"529123000","2023-03-05 15:33:49+00","29.32716","49.09333"
"564780000","2023-03-10 12:34:21+00","1.2627","103.89794"
"565761000","2023-03-07 19:01:21+00","1.16408","103.76326"
"564780000","2023-03-07 20:30:00+00","1.3028530092515027","103.96848699074945"
"529123000","2023-03-17 02:30:00+00","29.680330000000005","48.81167"
"563078430","2023-03-11 05:47:59+00","1.22926","103.71129"
"565761000","2023-03-14 23:51:45+00","1.22861","103.7195"
"352656000","2023-03-05 13:30:00+00","8.852705483525654","-79.51686214365918"
"564654000","2023-03-07 06:01:48+00","1.27812","103.9218"
"564654000","2023-03-08 16:17:36+00","1.25888","103.77863"
"564654000","2023-03-21 00:04:09+00","1.26583","103.87515"
"564654000","2023-03-13 13:06:51+00","1.2362","103.81877"
"564654000","2023-03-18 05:52:38+00","1.2693","103.9097"
"352656000","2023-03-22 10:30:00+00","8.825558827168537","-79.56000659947293"
"538008064","2023-03-14 01:15:37+00","8.83","-79.538"
"529123000","2023-03-15 02:34:01+00","27.41517","51.55133"
"563014650","2023-03-13 20:30:00+00","1.3001676399702824","103.95198763992114"
"564780000","2023-03-11 17:51:20+00","1.29005","103.92928"
"563014650","2023-03-14 11:41:04+00","1.30012","103.95055"
"564654000","2023-03-08 18:35:41+00","1.22218","103.88692"
"564654000","2023-03-08 12:50:24+00","1.27725","103.91123"
"564654000","2023-03-11 19:04:51+00","1.2571","103.8416"
"564654000","2023-03-11 04:23:36+00","1.23297","103.88947"
"563078430","2023-03-12 11:37:03+00","1.21153","103.86192"
"563014650","2023-03-16 04:50:23+00","1.23411","103.88167"
"564654000","2023-03-10 11:59:28+00","1.23243","103.86357"
"564780000","2024-01-05 10:35:19+00","1.2942383333333334","103.92719833333334"
"538008084","2023-03-17 07:23:48+00","43.55964","10.29434"
"564654000","2023-03-09 04:35:20+00","1.23127","103.79157"
"565761000","2023-03-10 23:25:15+00","1.2336","103.71625"
